"","X","LRR","var.LRR","scale","col","ref","Nitrogen.addition","pr.st"
"75",2,0.4212,0.0012,1.84913825327941,"darkgreen","Hibbs et al. 1995","No",1.32127087185192
"76",2,0.1917,0.0013,1.83814676627674,"darkgreen","Hibbs et al. 1995","No",1.32127087185192
"89",1.972222222,0.3891,0.0321,1.39783042027957,"darkgreen","Hungate et al. 1997 (Oecologia)","No",1.19728392075423
"90",1.972222222,0.4149,0.0188,1.47129665459119,"darkgreen","Hungate et al. 1997 (Oecologia)","No",1.19728392075423
"91",1.96,0.2654,0.0047,1.66166298395475,"darkgreen","Hungate et al. 2006","No",1.14272966369958
"93",2,0.4167,0.0528,1.32949227445374,"darkgreen","Jastrow et al. 2000","No",1.32127087185192
"106",1.426315789,0.0353,0.0083,1.58356990131683,"darkgreen","Johnson et al. 2004","No",-1.23938593139471
"107",1.75,0.192,0.0158,1.49516936361021,"darkgreen","Johnson et al. 2006","No",0.205388320899762
"108",2,0.0667,0.0226,1.44601694734301,"darkgreen","Johnson et al. 2006","Yes",1.32127087185192
"109",1.75,-0.0709,0.008,1.58862520640153,"darkgreen","Johnson et al. 2006","Yes",0.205388320899762
"148",1.457142857,-0.0627,0.0372,1.37758217000199,"darkgreen","Larsen et al. 2011","No",-1.10178838228184
"149",1.457142857,-0.049,0.0279,1.41708675264497,"darkgreen","Larsen et al. 2011","No",-1.10178838228184
"150",1.457142857,-0.1482,0.0338,1.39074403850814,"darkgreen","Larsen et al. 2011","No",-1.10178838228184
"151",1.457142857,-0.1469,0.0342,1.38912848717224,"darkgreen","Larsen et al. 2011","No",-1.10178838228184
"152",1.52173913,0,0.0306,1.40440202249122,"darkgreen","Lee et al. 2003","Yes",-0.813460966692874
"153",1.52173913,-0.0572,0.0178,1.4788023630868,"darkgreen","Lee et al. 2003","Yes",-0.813460966692874
"170",1.75,0.1153,0.0026,1.74296360159496,"darkgreen","Niklaus et al. 1998","No",0.205388320899762
"171",1.75,0.1653,0.0126,1.52624674537419,"darkgreen","Niklaus et al. 1998","No",0.205388320899762
"172",1.75,0.1192,0.0149,1.50322302321489,"darkgreen","Niklaus et al. 1998","No",0.205388320899762
"173",1.75,0.1841,0.0078,1.59210185487437,"darkgreen","Niklaus et al. 1998","No",0.205388320899762
"174",1.666666667,0.1018,0.0073,1.60119923902436,"darkgreen","Niklaus et al. 2003","No",-0.16657252792978
"193",1.52173913,0.0966,6e-04,1.94432141796119,"darkgreen","Reich & Hobbie 2013","No",-0.813460966692874
"194",1.52173913,0.095,4e-04,2,"darkgreen","Reich & Hobbie 2013","Yes",-0.813460966692874
